seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,MCTS-All,Random,82,1,2,1.0,82,82,7,6
1,MCTS-All,Random,2,1,2,1.0,2,2,3,3
2,MCTS-All,Random,19,1,2,1.0,19,19,5,3
3,MCTS-All,Random,25,1,2,1.0,25,25,3,3
4,MCTS-All,Random,2,1,2,1.0,2,2,3,3
5,MCTS-All,Random,85,1,2,1.0,85,85,9,9
6,MCTS-All,Random,40,1,2,1.0,40,40,5,5
7,MCTS-All,Random,36,1,2,1.0,36,36,9,3
8,MCTS-All,Random,2,1,2,1.0,2,2,3,3
9,MCTS-All,Random,24,1,2,1.0,24,24,6,5
0,MCTS-All,Heuristic,200,1,2,1.0,200,200,23,20
1,MCTS-All,Heuristic,185,2,1,0.0,185,185,18,20
2,MCTS-All,Heuristic,108,1,2,1.0,108,108,13,8
3,MCTS-All,Heuristic,11,2,1,0.0,11,11,3,5
4,MCTS-All,Heuristic,149,2,1,0.0,149,149,15,17
5,MCTS-All,Heuristic,200,2,1,0.0,200,200,16,28
6,MCTS-All,Heuristic,98,2,1,0.0,98,98,10,14
7,MCTS-All,Heuristic,200,2,1,0.0,200,200,18,35
8,MCTS-All,Heuristic,167,1,2,1.0,167,167,25,24
9,MCTS-All,Heuristic,98,1,2,1.0,98,98,13,20
0,MCTS-All,MCTS-Vanilla,179,2,1,0.0,179,179,25,11
1,MCTS-All,MCTS-Vanilla,200,2,1,0.0,200,200,14,21
2,MCTS-All,MCTS-Vanilla,53,1,2,1.0,53,53,7,4
3,MCTS-All,MCTS-Vanilla,63,1,2,1.0,63,63,8,5
4,MCTS-All,MCTS-Vanilla,173,2,1,0.0,173,173,26,15
5,MCTS-All,MCTS-Vanilla,63,1,2,1.0,63,63,9,6
6,MCTS-All,MCTS-Vanilla,83,2,1,0.0,83,83,10,11
7,MCTS-All,MCTS-Vanilla,130,1,2,1.0,130,130,16,16
8,MCTS-All,MCTS-Vanilla,56,2,1,0.0,56,56,8,5
9,MCTS-All,MCTS-Vanilla,186,1,2,1.0,186,186,30,27
0,MCTS-HeurRollout,MCTS-Vanilla,74,2,1,0.0,74,74,4,8
1,MCTS-HeurRollout,MCTS-Vanilla,127,1,2,1.0,127,127,8,6
2,MCTS-HeurRollout,MCTS-Vanilla,39,1,2,1.0,39,39,4,4
3,MCTS-HeurRollout,MCTS-Vanilla,83,1,2,1.0,83,83,8,6
4,MCTS-HeurRollout,MCTS-Vanilla,23,1,2,1.0,23,23,3,3
5,MCTS-HeurRollout,MCTS-Vanilla,20,1,2,1.0,20,20,3,3
6,MCTS-HeurRollout,MCTS-Vanilla,13,1,2,1.0,13,13,4,3
7,MCTS-HeurRollout,MCTS-Vanilla,10,1,2,1.0,10,10,3,3
8,MCTS-HeurRollout,MCTS-Vanilla,57,1,2,1.0,57,57,6,6
9,MCTS-HeurRollout,MCTS-Vanilla,195,2,1,0.0,195,195,23,38
0,MCTS-Prior,MCTS-HeurRollout,35,2,1,0.0,35,35,3,6
1,MCTS-Prior,MCTS-HeurRollout,84,2,1,0.0,84,84,8,5
2,MCTS-Prior,MCTS-HeurRollout,41,2,1,0.0,41,41,3,5
3,MCTS-Prior,MCTS-HeurRollout,2,2,1,0.0,2,2,3,3
4,MCTS-Prior,MCTS-HeurRollout,25,2,1,0.0,25,25,4,5
5,MCTS-Prior,MCTS-HeurRollout,2,2,1,0.0,2,2,3,3
6,MCTS-Prior,MCTS-HeurRollout,17,1,2,1.0,17,17,4,3
7,MCTS-Prior,MCTS-HeurRollout,200,1,2,1.0,200,200,34,18
8,MCTS-Prior,MCTS-HeurRollout,200,1,2,1.0,200,200,26,18
9,MCTS-Prior,MCTS-HeurRollout,107,1,2,1.0,107,107,14,19
0,MCTS-Opponent,MCTS-Prior,56,1,2,1.0,56,56,3,3
1,MCTS-Opponent,MCTS-Prior,17,1,2,1.0,17,17,3,3
2,MCTS-Opponent,MCTS-Prior,2,1,2,1.0,2,2,3,3
3,MCTS-Opponent,MCTS-Prior,2,1,2,1.0,2,2,3,3
4,MCTS-Opponent,MCTS-Prior,2,1,2,1.0,2,2,3,3
5,MCTS-Opponent,MCTS-Prior,150,1,2,1.0,150,150,21,16
