seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-prior_bonus_scale-8p0,199,1,2,1.0,199,199,23,21
1,Heuristic,MCTS-All-prior_bonus_scale-8p0,200,2,1,0.0,200,200,16,22
2,Heuristic,MCTS-All-prior_bonus_scale-8p0,200,1,2,1.0,200,200,23,23
3,Heuristic,MCTS-All-prior_bonus_scale-8p0,51,1,2,1.0,51,51,9,5
4,Heuristic,MCTS-All-prior_bonus_scale-8p0,200,1,2,1.0,200,200,30,21
5,Heuristic,MCTS-All-prior_bonus_scale-8p0,200,2,1,0.0,200,200,21,25
6,Heuristic,MCTS-All-prior_bonus_scale-8p0,106,2,1,0.0,106,106,13,15
7,Heuristic,MCTS-All-prior_bonus_scale-8p0,200,1,2,1.0,200,200,34,18
8,Heuristic,MCTS-All-prior_bonus_scale-8p0,148,1,2,1.0,148,148,21,24
9,Heuristic,MCTS-All-prior_bonus_scale-8p0,200,1,2,1.0,200,200,44,26
0,Heuristic,MCTS-Vanilla,189,1,2,1.0,189,189,18,23
1,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,21,21
2,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,26,23
3,Heuristic,MCTS-Vanilla,154,1,2,1.0,154,154,21,17
4,Heuristic,MCTS-Vanilla,150,1,2,1.0,150,150,19,15
5,Heuristic,MCTS-Vanilla,90,2,1,0.0,90,90,8,10
6,Heuristic,MCTS-Vanilla,173,2,1,0.0,173,173,22,19
7,Heuristic,MCTS-Vanilla,144,1,2,1.0,144,144,22,19
8,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,28,27
9,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,47,22
0,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,200,2,1,0.0,200,200,17,23
1,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,13,1,2,1.0,13,13,4,4
2,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,62,2,1,0.0,62,62,4,11
3,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,200,2,1,0.0,200,200,22,25
4,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,200,2,1,0.0,200,200,20,29
5,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,200,1,2,1.0,200,200,25,20
6,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,190,1,2,1.0,190,190,25,21
7,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,94,1,2,1.0,94,94,15,12
8,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,200,2,1,0.0,200,200,19,29
9,MCTS-Vanilla,MCTS-All-prior_bonus_scale-8p0,200,2,1,0.0,200,200,28,34
0,Random,Heuristic,56,2,1,0.0,56,56,4,6
1,Random,Heuristic,47,2,1,0.0,47,47,4,7
2,Random,Heuristic,94,2,1,0.0,94,94,7,6
3,Random,Heuristic,70,2,1,0.0,70,70,6,7
4,Random,Heuristic,2,2,1,0.0,2,2,3,3
5,Random,Heuristic,40,2,1,0.0,40,40,6,5
6,Random,Heuristic,68,2,1,0.0,68,68,10,6
7,Random,Heuristic,12,2,1,0.0,12,12,3,5
8,Random,Heuristic,2,2,1,0.0,2,2,3,3
9,Random,Heuristic,57,2,1,0.0,57,57,5,13
0,Random,MCTS-All-prior_bonus_scale-8p0,2,2,1,0.0,2,2,3,3
1,Random,MCTS-All-prior_bonus_scale-8p0,58,2,1,0.0,58,58,3,11
2,Random,MCTS-All-prior_bonus_scale-8p0,84,2,1,0.0,84,84,5,12
3,Random,MCTS-All-prior_bonus_scale-8p0,22,2,1,0.0,22,22,3,5
4,Random,MCTS-All-prior_bonus_scale-8p0,88,2,1,0.0,88,88,4,12
5,Random,MCTS-All-prior_bonus_scale-8p0,81,2,1,0.0,81,81,9,13
6,Random,MCTS-All-prior_bonus_scale-8p0,50,2,1,0.0,50,50,4,8
7,Random,MCTS-All-prior_bonus_scale-8p0,2,2,1,0.0,2,2,3,3
8,Random,MCTS-All-prior_bonus_scale-8p0,2,2,1,0.0,2,2,3,3
9,Random,MCTS-All-prior_bonus_scale-8p0,16,2,1,0.0,16,16,3,5
0,Random,MCTS-Vanilla,144,2,1,0.0,144,144,10,20
1,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
2,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
3,Random,MCTS-Vanilla,72,2,1,0.0,72,72,3,11
4,Random,MCTS-Vanilla,137,2,1,0.0,137,137,9,17
5,Random,MCTS-Vanilla,49,2,1,0.0,49,49,3,9
6,Random,MCTS-Vanilla,108,2,1,0.0,108,108,8,13
7,Random,MCTS-Vanilla,84,2,1,0.0,84,84,8,13
8,Random,MCTS-Vanilla,74,2,1,0.0,74,74,4,13
9,Random,MCTS-Vanilla,78,2,1,0.0,78,78,4,14
