seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-prior_bonus_scale-4p0,200,2,1,0.0,200,200,15,24
1,Heuristic,MCTS-All-prior_bonus_scale-4p0,200,1,2,1.0,200,200,25,18
2,Heuristic,MCTS-All-prior_bonus_scale-4p0,200,2,1,0.0,200,200,18,24
3,Heuristic,MCTS-All-prior_bonus_scale-4p0,200,2,1,0.0,200,200,21,25
4,Heuristic,MCTS-All-prior_bonus_scale-4p0,200,2,1,0.0,200,200,25,26
5,Heuristic,MCTS-All-prior_bonus_scale-4p0,200,2,1,0.0,200,200,21,23
6,Heuristic,MCTS-All-prior_bonus_scale-4p0,122,1,2,1.0,122,122,14,16
7,Heuristic,MCTS-All-prior_bonus_scale-4p0,79,1,2,1.0,79,79,13,11
8,Heuristic,MCTS-All-prior_bonus_scale-4p0,186,2,1,0.0,186,186,33,17
9,Heuristic,MCTS-All-prior_bonus_scale-4p0,200,1,2,1.0,200,200,40,28
0,Heuristic,MCTS-Vanilla,194,2,1,0.0,194,194,22,21
1,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,22,19
2,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,25,25
3,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,20,24
4,Heuristic,MCTS-Vanilla,82,1,2,1.0,82,82,11,8
5,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,23,20
6,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,39,17
7,Heuristic,MCTS-Vanilla,123,1,2,1.0,123,123,18,14
8,Heuristic,MCTS-Vanilla,12,1,2,1.0,12,12,5,4
9,Heuristic,MCTS-Vanilla,127,1,2,1.0,127,127,22,21
0,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,153,2,1,0.0,153,153,15,14
1,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,160,2,1,0.0,160,160,12,20
2,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,200,2,1,0.0,200,200,25,29
3,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,91,1,2,1.0,91,91,14,12
4,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,200,2,1,0.0,200,200,21,29
5,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,23,1,2,1.0,23,23,4,4
6,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,120,2,1,0.0,120,120,12,17
7,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,197,1,2,1.0,197,197,24,29
8,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,14,2,1,0.0,14,14,4,7
9,MCTS-Vanilla,MCTS-All-prior_bonus_scale-4p0,200,2,1,0.0,200,200,28,33
0,Random,Heuristic,143,2,1,0.0,143,143,14,12
1,Random,Heuristic,60,2,1,0.0,60,60,3,10
2,Random,Heuristic,33,2,1,0.0,33,33,3,5
3,Random,Heuristic,2,2,1,0.0,2,2,3,3
4,Random,Heuristic,54,2,1,0.0,54,54,5,8
5,Random,Heuristic,41,2,1,0.0,41,41,6,5
6,Random,Heuristic,2,2,1,0.0,2,2,3,3
7,Random,Heuristic,71,2,1,0.0,71,71,8,13
8,Random,Heuristic,107,2,1,0.0,107,107,9,18
9,Random,Heuristic,10,2,1,0.0,10,10,3,5
0,Random,MCTS-All-prior_bonus_scale-4p0,2,2,1,0.0,2,2,3,3
1,Random,MCTS-All-prior_bonus_scale-4p0,22,2,1,0.0,22,22,3,5
2,Random,MCTS-All-prior_bonus_scale-4p0,2,2,1,0.0,2,2,3,3
3,Random,MCTS-All-prior_bonus_scale-4p0,21,2,1,0.0,21,21,3,6
4,Random,MCTS-All-prior_bonus_scale-4p0,2,2,1,0.0,2,2,3,3
5,Random,MCTS-All-prior_bonus_scale-4p0,2,2,1,0.0,2,2,3,3
6,Random,MCTS-All-prior_bonus_scale-4p0,40,2,1,0.0,40,40,4,7
7,Random,MCTS-All-prior_bonus_scale-4p0,67,2,1,0.0,67,67,8,14
8,Random,MCTS-All-prior_bonus_scale-4p0,2,2,1,0.0,2,2,3,3
9,Random,MCTS-All-prior_bonus_scale-4p0,38,2,1,0.0,38,38,4,9
0,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
1,Random,MCTS-Vanilla,111,2,1,0.0,111,111,9,13
2,Random,MCTS-Vanilla,29,2,1,0.0,29,29,4,7
3,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
4,Random,MCTS-Vanilla,27,2,1,0.0,27,27,3,4
5,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
6,Random,MCTS-Vanilla,81,1,2,1.0,81,81,10,5
7,Random,MCTS-Vanilla,28,2,1,0.0,28,28,7,7
8,Random,MCTS-Vanilla,54,2,1,0.0,54,54,7,8
9,Random,MCTS-Vanilla,99,2,1,0.0,99,99,12,16
