seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-rollout_depth-8,200,2,1,0.0,200,200,17,25
1,Heuristic,MCTS-All-rollout_depth-8,198,1,2,1.0,198,198,17,24
2,Heuristic,MCTS-All-rollout_depth-8,194,1,2,1.0,194,194,27,24
3,Heuristic,MCTS-All-rollout_depth-8,74,2,1,0.0,74,74,10,12
4,Heuristic,MCTS-All-rollout_depth-8,197,2,1,0.0,197,197,24,27
5,Heuristic,MCTS-All-rollout_depth-8,113,1,2,1.0,113,113,10,18
6,Heuristic,MCTS-All-rollout_depth-8,109,1,2,1.0,109,109,10,15
7,Heuristic,MCTS-All-rollout_depth-8,200,1,2,1.0,200,200,27,27
8,Heuristic,MCTS-All-rollout_depth-8,137,2,1,0.0,137,137,20,23
9,Heuristic,MCTS-All-rollout_depth-8,191,2,1,0.0,191,191,38,24
0,Heuristic,MCTS-Vanilla,191,1,2,1.0,191,191,15,21
1,Heuristic,MCTS-Vanilla,142,1,2,1.0,142,142,16,10
2,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,28,21
3,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,23,26
4,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,30,15
5,Heuristic,MCTS-Vanilla,71,1,2,1.0,71,71,7,11
6,Heuristic,MCTS-Vanilla,22,1,2,1.0,22,22,8,3
7,Heuristic,MCTS-Vanilla,127,1,2,1.0,127,127,17,16
8,Heuristic,MCTS-Vanilla,194,2,1,0.0,194,194,33,17
9,Heuristic,MCTS-Vanilla,200,1,2,1.0,200,200,42,23
0,MCTS-Vanilla,MCTS-All-rollout_depth-8,200,1,2,1.0,200,200,23,22
1,MCTS-Vanilla,MCTS-All-rollout_depth-8,200,2,1,0.0,200,200,17,22
2,MCTS-Vanilla,MCTS-All-rollout_depth-8,200,2,1,0.0,200,200,24,29
3,MCTS-Vanilla,MCTS-All-rollout_depth-8,200,1,2,1.0,200,200,23,22
4,MCTS-Vanilla,MCTS-All-rollout_depth-8,146,2,1,0.0,146,146,14,19
5,MCTS-Vanilla,MCTS-All-rollout_depth-8,200,2,1,0.0,200,200,17,23
6,MCTS-Vanilla,MCTS-All-rollout_depth-8,200,2,1,0.0,200,200,26,27
7,MCTS-Vanilla,MCTS-All-rollout_depth-8,200,2,1,0.0,200,200,24,26
8,MCTS-Vanilla,MCTS-All-rollout_depth-8,200,2,1,0.0,200,200,23,27
9,MCTS-Vanilla,MCTS-All-rollout_depth-8,200,2,1,0.0,200,200,27,40
0,Random,Heuristic,44,2,1,0.0,44,44,3,4
1,Random,Heuristic,15,2,1,0.0,15,15,3,4
2,Random,Heuristic,55,2,1,0.0,55,55,3,4
3,Random,Heuristic,2,2,1,0.0,2,2,3,3
4,Random,Heuristic,10,2,1,0.0,10,10,3,4
5,Random,Heuristic,31,2,1,0.0,31,31,4,5
6,Random,Heuristic,49,2,1,0.0,49,49,5,7
7,Random,Heuristic,2,2,1,0.0,2,2,3,3
8,Random,Heuristic,40,2,1,0.0,40,40,5,9
9,Random,Heuristic,39,2,1,0.0,39,39,4,7
0,Random,MCTS-All-rollout_depth-8,16,2,1,0.0,16,16,3,6
1,Random,MCTS-All-rollout_depth-8,73,2,1,0.0,73,73,6,10
2,Random,MCTS-All-rollout_depth-8,76,2,1,0.0,76,76,4,7
3,Random,MCTS-All-rollout_depth-8,2,2,1,0.0,2,2,3,3
4,Random,MCTS-All-rollout_depth-8,65,2,1,0.0,65,65,4,10
5,Random,MCTS-All-rollout_depth-8,25,2,1,0.0,25,25,3,4
6,Random,MCTS-All-rollout_depth-8,26,2,1,0.0,26,26,4,5
7,Random,MCTS-All-rollout_depth-8,28,2,1,0.0,28,28,5,7
8,Random,MCTS-All-rollout_depth-8,41,2,1,0.0,41,41,5,8
9,Random,MCTS-All-rollout_depth-8,25,2,1,0.0,25,25,3,6
0,Random,MCTS-Vanilla,26,2,1,0.0,26,26,3,5
1,Random,MCTS-Vanilla,60,2,1,0.0,60,60,3,8
2,Random,MCTS-Vanilla,54,2,1,0.0,54,54,3,8
3,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
4,Random,MCTS-Vanilla,109,2,1,0.0,109,109,10,15
5,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
6,Random,MCTS-Vanilla,84,2,1,0.0,84,84,7,13
7,Random,MCTS-Vanilla,184,2,1,0.0,184,184,18,24
8,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
9,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
