seed,agent_a,agent_b,turns,placement_a,placement_b,score_a,turns_survived_a,turns_survived_b,final_length_a,final_length_b
0,Heuristic,MCTS-All-exploration-0p6,200,2,1,0.0,200,200,16,26
1,Heuristic,MCTS-All-exploration-0p6,85,1,2,1.0,85,85,7,11
2,Heuristic,MCTS-All-exploration-0p6,200,1,2,1.0,200,200,24,24
3,Heuristic,MCTS-All-exploration-0p6,156,1,2,1.0,156,156,16,21
4,Heuristic,MCTS-All-exploration-0p6,200,1,2,1.0,200,200,24,24
5,Heuristic,MCTS-All-exploration-0p6,93,2,1,0.0,93,93,8,13
6,Heuristic,MCTS-All-exploration-0p6,199,2,1,0.0,199,199,23,29
7,Heuristic,MCTS-All-exploration-0p6,62,1,2,1.0,62,62,11,10
8,Heuristic,MCTS-All-exploration-0p6,173,2,1,0.0,173,173,29,21
9,Heuristic,MCTS-All-exploration-0p6,61,1,2,1.0,61,61,11,11
0,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,16,22
1,Heuristic,MCTS-Vanilla,200,2,1,0.0,200,200,17,25
2,Heuristic,MCTS-Vanilla,121,2,1,0.0,121,121,8,15
3,Heuristic,MCTS-Vanilla,40,1,2,1.0,40,40,6,5
4,Heuristic,MCTS-Vanilla,165,2,1,0.0,165,165,19,18
5,Heuristic,MCTS-Vanilla,17,1,2,1.0,17,17,4,3
6,Heuristic,MCTS-Vanilla,176,2,1,0.0,176,176,22,23
7,Heuristic,MCTS-Vanilla,71,1,2,1.0,71,71,11,6
8,Heuristic,MCTS-Vanilla,43,1,2,1.0,43,43,11,5
9,Heuristic,MCTS-Vanilla,171,2,1,0.0,171,171,32,22
0,MCTS-Vanilla,MCTS-All-exploration-0p6,75,1,2,1.0,75,75,10,8
1,MCTS-Vanilla,MCTS-All-exploration-0p6,22,1,2,1.0,22,22,5,5
2,MCTS-Vanilla,MCTS-All-exploration-0p6,200,2,1,0.0,200,200,24,27
3,MCTS-Vanilla,MCTS-All-exploration-0p6,200,2,1,0.0,200,200,19,26
4,MCTS-Vanilla,MCTS-All-exploration-0p6,175,2,1,0.0,175,175,16,23
5,MCTS-Vanilla,MCTS-All-exploration-0p6,200,1,2,1.0,200,200,23,23
6,MCTS-Vanilla,MCTS-All-exploration-0p6,12,1,2,1.0,12,12,5,4
7,MCTS-Vanilla,MCTS-All-exploration-0p6,200,2,1,0.0,200,200,20,31
8,MCTS-Vanilla,MCTS-All-exploration-0p6,21,2,1,0.0,21,21,3,4
9,MCTS-Vanilla,MCTS-All-exploration-0p6,200,2,1,0.0,200,200,27,37
0,Random,Heuristic,2,2,1,0.0,2,2,3,3
1,Random,Heuristic,58,2,1,0.0,58,58,4,6
2,Random,Heuristic,15,2,1,0.0,15,15,3,4
3,Random,Heuristic,26,2,1,0.0,26,26,4,5
4,Random,Heuristic,2,2,1,0.0,2,2,3,3
5,Random,Heuristic,2,2,1,0.0,2,2,3,3
6,Random,Heuristic,2,2,1,0.0,2,2,3,3
7,Random,Heuristic,37,2,1,0.0,37,37,6,5
8,Random,Heuristic,10,2,1,0.0,10,10,3,5
9,Random,Heuristic,47,2,1,0.0,47,47,6,7
0,Random,MCTS-All-exploration-0p6,30,2,1,0.0,30,30,3,7
1,Random,MCTS-All-exploration-0p6,163,2,1,0.0,163,163,11,18
2,Random,MCTS-All-exploration-0p6,98,2,1,0.0,98,98,5,14
3,Random,MCTS-All-exploration-0p6,60,2,1,0.0,60,60,4,10
4,Random,MCTS-All-exploration-0p6,2,2,1,0.0,2,2,3,3
5,Random,MCTS-All-exploration-0p6,55,2,1,0.0,55,55,9,9
6,Random,MCTS-All-exploration-0p6,2,2,1,0.0,2,2,3,3
7,Random,MCTS-All-exploration-0p6,55,2,1,0.0,55,55,7,10
8,Random,MCTS-All-exploration-0p6,2,2,1,0.0,2,2,3,3
9,Random,MCTS-All-exploration-0p6,2,2,1,0.0,2,2,3,3
0,Random,MCTS-Vanilla,30,2,1,0.0,30,30,3,6
1,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
2,Random,MCTS-Vanilla,137,2,1,0.0,137,137,11,18
3,Random,MCTS-Vanilla,69,2,1,0.0,69,69,8,11
4,Random,MCTS-Vanilla,2,2,1,0.0,2,2,3,3
5,Random,MCTS-Vanilla,93,2,1,0.0,93,93,6,12
6,Random,MCTS-Vanilla,156,2,1,0.0,156,156,18,20
7,Random,MCTS-Vanilla,2,2,1,0.0,2,2,4,3
8,Random,MCTS-Vanilla,102,2,1,0.0,102,102,9,18
9,Random,MCTS-Vanilla,44,2,1,0.0,44,44,6,10
